Check Item,Category,Severity,AI-Specific (Yes/No),Description
No hardcoded secrets or API keys,Security,Critical,Yes,AI models frequently embed example API keys or tokens from training data. Search for patterns like sk- or key= in generated code.
AI didn't hallucinate non-existent APIs,Logic,Critical,Yes,Verify every import and function call actually exists in the library version you're using. AI models confidently reference methods that don't exist.
All external API calls have error handling,Logic,Critical,No,Every fetch/axios/http call needs try-catch with meaningful error responses. AI often generates the happy path only.
No SQL injection vectors,Security,Critical,No,Check that all database queries use parameterized queries or ORM methods. AI sometimes generates string concatenation for dynamic queries.
Input validation on all user-facing endpoints,Security,Critical,No,Validate and sanitize all inputs. Check for type coercion issues and boundary values.
Dependencies actually exist and are maintained,Logic,Critical,Yes,"AI may suggest packages that are deprecated, renamed, or entirely fictional. Check npm/PyPI before installing."
No unnecessary abstraction layers,Logic,Important,Yes,"AI loves creating AbstractFactoryProviderManagers. If a simple function works, don't accept a class hierarchy."
Test coverage for core logic paths,Testing,Important,No,Every function with branching logic needs tests for each branch. Check that tests actually assert meaningful outcomes.
Tests verify behavior not implementation,Testing,Important,Yes,AI-generated tests often test implementation details (mock call counts) instead of actual behavior. Fragile tests are worse than no tests.
No console.log or print statements left in production code,Style,Important,Yes,AI frequently leaves debug logging in generated code. Replace with proper structured logging.
Error messages are helpful and don't leak internals,Security,Important,No,Error responses to clients should be helpful but not expose stack traces or internal architecture.
No N+1 query patterns,Performance,Important,No,Check that database access in loops uses batch queries or eager loading instead of per-iteration queries.
Proper TypeScript types — no any or unknown abuse,Style,Important,Yes,"AI takes shortcuts with 'any' type to avoid compilation errors. Every 'any' should be justified or replaced."
Environment-specific values use env vars,Security,Important,No,"URLs, ports, feature flags — anything that changes between environments must come from configuration, not hardcoded."
Async/await used correctly — no floating promises,Logic,Important,Yes,AI sometimes forgets to await async calls or creates promises that are never handled. Check for unhandled rejections.
No race conditions in concurrent code,Logic,Critical,No,"Check that shared state access is properly synchronized. AI rarely considers concurrency issues unless explicitly prompted."
Functions are under 50 lines,Style,Nice-to-Have,No,"Long functions are hard to test and maintain. If AI generated a 200-line function, break it up."
Variable names are descriptive and consistent,Style,Nice-to-Have,Yes,"AI sometimes mixes naming conventions (camelCase and snake_case) or uses generic names like 'data', 'result', 'temp'."
README/comments match actual behavior,Logic,Nice-to-Have,Yes,AI-generated documentation can describe intended behavior that doesn't match the actual implementation. Verify comments are accurate.
No circular dependencies introduced,Logic,Important,No,Check import chains for cycles. AI generating multiple files simultaneously can create circular references without realizing it.
