Project Name,Category,Platform,Monthly Revenue ($),Status,Start Date,URL,AI Tools Used,Monthly Hours,Effective Hourly Rate ($),Growth Rate (%),Notes
Claude Code Consulting,Freelancing,Upwork,5500,Active,2025-06-15,https://upwork.com/freelancers/example,"Claude, Cursor",62,88.71,18,Two retainer clients plus ad-hoc projects. Raised rate to $140/hr for new clients
Prompt Pack Store,Digital Product,Gumroad,1100,Active,2025-10-12,https://gumroad.com/example/prompts,"Claude, ChatGPT",16,68.75,10,Claude Code mega pack is the best seller. Planning v2 bundle
AI Newsletter,Content,Substack,1450,Scaling,2025-09-01,https://ainewsletter.substack.com,"Claude, Midjourney",24,60.42,12,2650 subscribers. Testing paid recommendations to accelerate growth
n8n Automation Services,Automation,Own Website,4200,Scaling,2025-04-01,https://example.com/automation,n8n,55,76.36,22,Productised client onboarding package. Three recurring clients
ChatGPT Course,Course,Udemy,3200,Active,2025-07-20,https://udemy.com/course/example,"ChatGPT, Claude",10,320.00,5,Passive income from existing course. Planning advanced follow-up
AI Coloring Books,Digital Product,Amazon KDP,680,Active,2026-01-05,https://amazon.com.au/dp/example,Midjourney,12,56.67,15,Easter pack selling well. Mother's Day and Winter packs in production
AI Video Editing,Freelancing,Fiverr,2400,Active,2025-08-18,https://fiverr.com/example,"Runway, Descript",32,75.00,14,Three repeat clients driving volume. Adding AI voice cloning tier
Notion Template Store,Digital Product,Gumroad,780,Active,2025-12-01,https://gumroad.com/example/notion,"Claude, Notion",14,55.71,20,Five templates live. Planning a $49 bundle pack
AI Thumbnail SaaS,SaaS,Own Website,0,Planning,2026-02-20,https://example.com/thumbnails,"Claude, Midjourney, Cursor",18,0.00,0,MVP in development. Target: 10 beta users by May 2026
Substack Growth Consulting,Freelancing,Own Website,850,Active,2026-01-10,https://example.com/consulting,Claude,8,106.25,30,New service offering. Helping other creators grow their newsletters
