Expense,Category,Amount ($),Frequency,Tax Deductible,Vendor,Date,Notes
Adobe Creative Cloud,Software,79.99,Monthly,Yes,Adobe,2026-03-01,"Full suite — Premiere Pro, Photoshop, Lightroom. Essential for video editing."
Riverside.fm Pro,Software,24.00,Monthly,Yes,Riverside,2026-03-01,"Remote podcast and video recording. Replaced Zoom for interviews."
Sony A7IV Camera,Equipment,3899.00,One-off,Yes,Camera House,2026-01-18,"Upgraded from A6400. 4K60 for YouTube. Claimed via instant asset write-off."
Video Editor (freelance),Contractors,1600.00,Monthly,Yes,Jake Thompson,2026-03-15,"Edits 4 YouTube videos per month at $400 each. Reliable and fast."
Facebook/Instagram Ads,Advertising,500.00,Monthly,Yes,Meta,2026-03-01,"Retargeting warm audience to digital product landing pages. 3.2x ROAS."
Notion Plus Plan,Software,10.00,Monthly,Yes,Notion,2026-03-01,"Workspace for all business operations. Team plan for VA access."
ConvertKit Creator Pro,Software,59.00,Monthly,Yes,ConvertKit,2026-03-01,"Email marketing. 8200 subscribers. Automations for product launches."
Accountant (quarterly BAS),Accounting,550.00,Quarterly,Yes,Smith & Co Accounting,2026-03-20,"BAS lodgement and tax planning. Worth every cent for GST compliance."
Online Course — YouTube Growth,Education,497.00,One-off,Yes,Creator Academy,2026-02-10,"Ali Abdaal's Part-Time YouTuber Academy. Solid ROI on channel strategy."
Public Liability Insurance,Insurance,840.00,Annual,Yes,BizCover,2026-01-05,"Required for brand events and in-person collaborations. $10M coverage."
