Title,Platform,Content Type,Status,Publish Date,Topic,Category,Engagement Goal,Notes
5 AI Tools That Replaced My VA,YouTube,Long-form Video,Published,2026-03-10,AI Tools Review,Tech & Tools,50K views,"High-performing topic. Repurpose into Twitter thread and newsletter. Sponsored by Descript."
Day in the Life: Full-Time Creator,TikTok,Short-form Video,Published,2026-03-14,Behind the Scenes,Lifestyle,200K views,"Raw and authentic style. Shot on iPhone. Performed well in first 24 hours."
How I Hit 10K Subscribers in 90 Days,YouTube,Long-form Video,Editing,2026-03-22,Tutorial,Growth & Strategy,30K views,"Include analytics screenshots and timeline breakdown. B-roll of studio setup."
Creator Economy in 2026 — What Changed,Newsletter,Newsletter Issue,Scheduled,2026-03-25,Hot Take,Industry,3K opens,"Tie into recent platform algorithm changes. Include 3 actionable takeaways."
The Notion Setup That Runs My Business,Instagram,Carousel,Published,2026-03-08,Productivity Tips,Tech & Tools,15K reach,"10-slide carousel with screenshots. Strong saves. Affiliate link to Notion in bio."
Why Most Creators Quit After 6 Months,LinkedIn,Article,Scripting,2026-04-01,Hot Take,Growth & Strategy,500 reactions,"Data-driven post. Reference recent creator burnout studies. Personal angle."
$0 to $5K/Month Content Toolkit,Blog,Article,Published,2026-02-28,Tutorial,Tech & Tools,8K pageviews,"SEO-optimised. Affiliate links throughout. Ranks for 'content creator tools 2026'."
Behind the Brand Deal: What I Actually Earned,YouTube,Long-form Video,Filming,2026-04-05,Behind the Scenes,Business,40K views,"Transparent breakdown of 3 recent sponsorships. Anonymise brand names where needed."
Weekly Creator Q&A — March Edition,Podcast,Podcast Episode,Scheduled,2026-03-28,Q&A,Community,2K listens,"Answering top 5 audience questions from Instagram polls. Record on Riverside.fm."
Hook Writing Masterclass (60 Seconds),TikTok,Short-form Video,Idea,2026-04-10,Tutorial,Content Creation,300K views,"Demonstrate 5 hook formulas with live examples. Trending audio if available."
