Month,Source,Amount ($),Type,Platform,Notes
2026-01,Ad Revenue,620.00,Passive,YouTube,"CPM trending up after algorithm change. 45K total views."
2026-01,Sponsorships,3500.00,Active,YouTube,"NordVPN dedicated video deal."
2026-01,Affiliate,280.00,Passive,Blog,"Mostly Notion and tool affiliate links from evergreen blog posts."
2026-01,Digital Products,450.00,Passive,Gumroad,"Creator toolkit template sales. 18 units at $25."
2026-02,Ad Revenue,840.00,Passive,YouTube,"Views up 35% month-over-month. Viral TikTok driving traffic."
2026-02,Sponsorships,2800.00,Active,YouTube,"Descript dedicated tutorial video."
2026-02,Affiliate,520.00,Passive,Multiple,"Strong month — Skillshare free trial signups spiked."
2026-02,Coaching,600.00,Active,Zoom,"2x 1-hour coaching calls at $300 each. New offering."
2026-03,Ad Revenue,910.00,Passive,YouTube,"Consistent growth. 52K total views."
2026-03,Sponsorships,5700.00,Active,Multiple,"Skillshare integration + Notion dedicated video."
2026-03,Affiliate,340.00,Passive,Blog,"Steady. Need to update old affiliate posts."
2026-03,Memberships,380.00,Recurring,Patreon,"38 members at $10/month. Growing slowly."
2026-03,Digital Products,675.00,Passive,Gumroad,"Launched new template. 27 units across 2 products."
2026-03,Donations,85.00,Passive,YouTube,"Super Chats and channel memberships."
