Title,Platform,Status,Category,Hook Type,Post Date,Duration (seconds),Sound,Notes
Why Your Morning Routine Is Wasting Your Time,TikTok,Viral,Educational,Bold Claim,2026-03-10,32,Original Audio,"Hit 1.2M views in 48 hours. Strong hook drove 94% completion rate. Cross-posted to Reels."
3 Apps That Pay You to Walk,Instagram Reels,Posted,Tutorial,Curiosity Gap,2026-03-12,45,Chill Vibes - LoFi Mix,"Solid save rate. Affiliate links in bio drove 340 clicks. Repost on TikTok tomorrow."
POV: You Finally Quit Your 9-5,TikTok,Viral,POV,Pattern Interrupt,2026-03-08,18,Aesthetic - Tollan Kim,"Trending sound boosted reach. 890K views. Duets and stitches drove secondary wave."
Get Ready With Me While I Explain Web3,YouTube Shorts,Posted,Get Ready With Me,Question,2026-03-15,58,Original Audio,"Lower performance on Shorts vs TikTok. Algorithm favours under 45s here."
The Side Hustle Nobody Talks About,All,Scheduled,Educational,Controversy,2026-03-28,37,Money Trees - Kendrick Lamar,"Cross-post all three platforms same day. A/B test caption length."
I Tried Living on AI Income for a Week,TikTok,Filming,Story Time,Before-After,2026-04-02,54,Original Audio,"Film over 5 days. Daily update format. Needs strong opening shot."
Stop Doing This With Your Phone,Instagram Reels,Editing,Tutorial,Bold Claim,2026-03-30,28,Tech Tips Remix,"Screen recording tutorial. Add text overlays in CapCut before export."
What Australians Actually Earn Online,TikTok,Scripting,Educational,Curiosity Gap,2026-04-05,41,Original Audio,"Research ABS data for accuracy. Controversial topic drives comments."
Day in My Life Working From Bali,YouTube Shorts,Idea,Day in Life,Pattern Interrupt,2026-04-12,47,Paradise - Ikson,"Plan around April travel. Golden hour footage for thumbnail."
Reacting to My First Ever TikTok,All,Idea,Reaction,Before-After,2026-04-15,33,Oh No - Kreepa,"Self-deprecating humour angle. Side-by-side comparison format."
