Playlist Name,Videos Count,Total Views,Category,Status,Strategy,Last Updated,Notes
YouTube Growth Masterclass,8,142000,Tutorial,Active,Evergreen,2026-03-18,Core playlist for new subscriber onboarding — high session time
Gear Reviews and Recommendations,5,47200,Review,Active,Evergreen,2026-03-03,Affiliate revenue driver — update with each new gear video
Creator Vlogs,4,96500,Vlog,Growing,Series,2026-03-10,Personal storytelling builds community — plan one per month
YouTube Shorts,12,318000,Shorts,Active,Topical,2026-03-18,Repurposed clips from long-form — high impressions low revenue
Behind the Scenes,2,18400,Behind the Scenes,Growing,Series,2026-02-20,Studio tours and process videos — audience loves authenticity
AI Tools for Creators,3,52700,Tutorial,Active,Topical,2026-03-03,Growing niche — AI search volume increasing month over month
2026 Best Of,0,0,Listicle,Active,Seasonal,2026-01-01,Year-end compilation — add best performers throughout the year
Beginner YouTube Guide,6,89300,Tutorial,Active,Evergreen,2026-02-17,Structured learning path — videos ordered by topic progression
Collaboration Highlights,1,5200,Collaboration,Archived,Topical,2025-11-15,Only one collab so far — will reactivate when more are published
Weekly Shorts Compilation,4,48200,Shorts,Active,Series,2026-03-18,Grouping related shorts for binge sessions
