Month,Source,Amount ($),Type,Notes
2026-03-01,AdSense,1106.50,Passive,Strong month — viral vlog and shorts driving ad revenue
2026-03-01,Sponsorship,1500.00,Active,Epidemic Sound integration in editing tutorial
2026-03-01,Affiliate,342.80,Passive,Amazon gear links performing well from evergreen content
2026-03-01,Memberships,89.00,Recurring,12 channel members at mixed tiers
2026-02-01,AdSense,685.30,Passive,Steady month — subscriber growth video drove most revenue
2026-02-01,Affiliate,218.40,Passive,Camera affiliate links from listicle video
2026-02-01,Super Chats,42.50,Active,Two live streams in February — small but engaged audience
2026-01-01,AdSense,412.60,Passive,Quieter month — holiday content slowdown
2026-01-01,Sponsorship,800.00,Active,Artlist sponsorship for free music video
2026-01-01,Merch Shelf,165.00,Passive,New merch line launched — t-shirts and stickers via Spring
